"ID_Mon","TenMon","KyHieu","FileDeCuong","ID_Khoa","ID_BoMon","ID_LoaiMon","TinhTrang"
"192","Thí nghiệm vật lý  1","PHYS 111202",NULL,NULL,NULL,NULL,NULL
"193","Điện tử căn bản","EEEN234162",NULL,NULL,NULL,NULL,NULL
"194","Thực tập điện tử căn bản","PRBE214262",NULL,NULL,NULL,NULL,NULL
"195","Nhập môn ngành ATTT","INIT130185",NULL,NULL,NULL,NULL,NULL
"196","Nhập môn lập trình","INPR130285",NULL,NULL,NULL,NULL,NULL
"197","Kỹ thuật lập trình","PRTE230385",NULL,NULL,NULL,NULL,NULL
"198","Giáo dục quốc phòng","GDQP008031",NULL,NULL,NULL,NULL,NULL
"199","Toán rời rạc và lý thuyết đồ thị","DIGR230485",NULL,NULL,NULL,NULL,NULL
"200","Cấu trúc dữ liệu và giải thuật","DASA230179",NULL,NULL,NULL,NULL,NULL
"201","Lập trình hướng đối tượng","OOPR230279",NULL,NULL,NULL,NULL,NULL
"202","Kiến trúc máy tính và hợp ngữ","CAAL230180",NULL,NULL,NULL,NULL,NULL
"203","Hệ điều hành","OPSY330280",NULL,NULL,NULL,NULL,NULL
"204","Mạng máy tính căn bản","NEES330380",NULL,NULL,NULL,NULL,NULL
"205","Cơ sở dữ liệu","DBSY230184",NULL,NULL,NULL,NULL,NULL
"206","Học máy","MALE431984",NULL,NULL,NULL,NULL,NULL
"207","Lập trình Web","WEPR330479",NULL,NULL,NULL,NULL,NULL
"208","Lập trình Python (CĐ)","IPPA233277",NULL,NULL,NULL,NULL,NULL
"209","An toàn thông tin ","INSE330380",NULL,NULL,NULL,NULL,NULL
"210","Lập trình di động","MOPR331279",NULL,NULL,NULL,NULL,NULL
"211","Lập trình mạng","NPRO430980",NULL,NULL,NULL,NULL,NULL
"212","Mật mã ứng dụng","CRYP331980",NULL,NULL,NULL,NULL,NULL
"213","Tấn công mạng và phòng thủ","ETHA332080",NULL,NULL,NULL,NULL,NULL
"214","An ninh Mạng ","NSEC430880",NULL,NULL,NULL,NULL,NULL
"215","Lập trình hệ thống","SYPR432780",NULL,NULL,NULL,NULL,NULL
"216","Mạng máy tính nâng cao","ADNT330580",NULL,NULL,NULL,NULL,NULL
"217","Thiết kế mạng","CNDE430780",NULL,NULL,NULL,NULL,NULL
"218","An toàn ứng dụng web","WASE432680",NULL,NULL,NULL,NULL,NULL
"219","Hệ thống giám sát an toàn mạng","NSMS432280",NULL,NULL,NULL,NULL,NULL
"220","An toàn mạng không dây và di động","WISE432380",NULL,NULL,NULL,NULL,NULL
"221","Pháp lý kỹ thuật số","DIFO432180",NULL,NULL,NULL,NULL,NULL
"222","Tiểu luận chuyên ngành ATTT ","POIS431479",NULL,NULL,NULL,NULL,NULL
